Name,Net weight,Price
"SM Bonus Mayo Blend | 1L","1",132.5
"SM Bonus Catsup Banana | 320g","320",18.5
"SM BONUS BLACK PEPPER GROUND 60G","60",62.5
"SM Bonus Sweet Chili Sauce | 330g","330",33.5
"SM Bonus Whole Kernel Corn | 2.95kg","2.95",285
"SM Bonus Sardines Chili | 155g","155",22.95
"SM Bonus Pork Luncheon Meat | 340g","340",72.5
"SM Bonus Corned Beef | 175g","175",34.75
"SM Bonus Button Mushrooms | 425g","425",51.5
"SM Bonus Sardines in Tomato Sauce | 155g","155",22.95
"SM Bonus Sandwich Spread | 1L","1",136.5
"SM Bonus Peanut Butter | 340g","340",95.5
"SM Bonus Peanut Butter Crunchy | 470g","470",149.5
"SM Bonus Peanut Butter Creamy | 470g","470",149.5
"SM Bonus Instant Oats | 500g","500",64.5
"SM Bonus Instant Oats | 500g","500",69.5
"SM Bonus Desiccated Coconut | 150g","150",32.5
"SM Bonus Pure Cornstarch | 200g","200",21.5
"SM Bonus Hotcake Mix | 500g","500",59.5
"SM Bonus All Purpose Flour | 400g","400",43.5
"SM Bonus All Purpose Flour | 200g","200",26.5
"Ideal Penne Rigate | 500g","500",85.5
"White King Fiesta Spaghetti 800g + Sweet Style Spaghetti Sauce 900g |","800",129.5
"SUNSHINE SPAGHETTI 1KG","1",77
"White King Fiesta Macaroni Salad | 400g","400",45.5
"White King Fiesta Macaroni Elbow | 400g","400",45.5
