Category,Name,Net weight,Price
"Beverage","Rc Cola | 250ml","250",24.95
"Beverage","Rc Pet Cola | 1.5L","1.5",59.5
"Beverage","Pepsi Zero Sugar Lime | 1.5L","1.5",65.95
"Beverage","Pepsi | 1.5L PET","1.5",59
"Beverage","Mug Rootbeer Can | 320ml","320",34.5
"Beverage","Mountain Dew | 330mL Can","330",34.5
"Beverage","Mountain Dew Pet | 1.5L","1.5",65.95
"Beverage","Juicy Lemon Fruit Soda Pet | 1.5L","1.5",59.5
"Beverage","Fruit Soda Orange | 1.5L","1.5",59.5
"Beverage","Coke Light | 320ml","320",37.5
"Beverage","Coca Cola Coke Light PET | 1.5L","1.5",67.5
"Beverage","Cali Shandy Can Sparkling Pineapple Light Drink | 330ml","330",32.5
"Beverage","Cali Shandy Apple Ice in Can | 330ml","330",32.5
"Beverage","Cali Shandy Regular in Can | 330ml","330",32.5
"Beverage","Arcy S Root Beer | 1.5L","1.5",59.5
"Beverage","Up Pet Regular | 1.5L","1.5",65.95
"Beverage","Tang Powder Juice Orange | 375g","375",326.5
"Beverage","Tang Powdered Juice Honey Lemon | 25g","25",21
"Beverage","Tang Grape Powdered Juice Drink | 19g","19",20.5
"Beverage","Tang Powdered Juice Drink Strawberry | 25g","25",21.5
"Beverage","Tang Powder Juice Pomelo | 19g","19",21
"Beverage","Tang Powdered Juice Drink Mango | 25g","25",20.5
"Beverage","Tang Powdered Juice Drink Four Seasons | 25g","25",20.5
"Beverage","Tang Powdered Juice Drink Calamansi | 25g","25",20.5
"Beverage","Tang Powdered Juice Drink Dalandan | 25g","25",20.5
"Beverage","Nestea Iced Tea Lemon Blend | 250g","250",199.5
"Beverage","Nestea Iced Tea Apple Blend Litro Pack | 19g","19",19.95
"Beverage","Zesto Juice Grape | 200ml","200",9.5
"Beverage","Tropicana Twister Pulp Orange | 355ml","355",29.95
"Beverage","Tropicana Twister Juicy Pulp | 1L","1",62.5
"Beverage","Tropicana Pet Orange | 355ml","355",29.95
"Beverage","Tropicana Twister Juice Drink Orange Pet | 1L","1",62.5
"Beverage","Squeezed 4U Calamansi Concentrated Honey | 320ml","320",184.5
"Beverage","Smart C Juice Drink Pomelo Grapefruit | 500ml","500",34.5
"Beverage","Smart C Calamansi Splash | 500ml","500",34.5
"Beverage","Smart C Juice Drink Lemon Squeeze | 500ml","500",34.5
"Beverage","Plus Juice Mango | 250ml","250",11.5
"Beverage","Plus Juice Apple | 250ml","250",1
"Beverage","Plus Juice Orange | 250ml","250",1
"Beverage","Mogu Mogu Yogurt | 320ml","320",45
"Beverage","Mogu Mogu Grape Juice | 320ml","320",45
"Beverage","Mogu Mogu Stawberry Juice | 320ml","320",45
"Beverage","Mogu Mogu Juice Drink Coconut | 320mL","320",45
"Beverage","Mogu Mogu Juice Drink Lychee | 320mL","320",45
"Beverage","Minute Maid Juice Drink Fresh Orange | 800ml","800",40.5
"Beverage","Minute Maid Nutri + Mango Orange | 1L","1",53.75
"Beverage","Minute Maid Juice Drink Fresh Orange | 1L","1",53.75
"Beverage","Del Monte Fit N Right Pineapple | 1L","1",89.5
"Beverage","Del Monte Fit N Right Four Seasons | 1L","1",89.5
"Beverage","Del Monte Juice Pineapple Heart Smart | 1L","1",130.5
"Beverage","Del Monte Juice Drink Pineorange | 1L Tetra","1",111.5
"Beverage","Del Monte Sweetened Pineapple Juice | 1L","1",108.95
"Beverage","Del Monte Juice Drink Four Season | 1.3L Canned","1.3",129.5
"Beverage","Del Monte Juice Drink Apple | 1.3L Canned","1.3",129.5
"Beverage","Del Monte Canned Juice Sweetened Pineapple | 220ml","220",36.5
"Beverage","Del Monte Juice Drink Mango | 240mL Canned","240",44.5
"Beverage","Del Monte Juice Drink Four Seasons | 240mL Canned","240",36.5
"Beverage","Del Monte Juice Drink Heart Smart Pineapple | 240mL Canned","240",38.95
"Beverage","Big 250 Juice Drink Mango | 250mL","250",1
"Beverage","Big 250 Juice Drink Orange | 250mL","250",1
"Beverage","Sting Energy Drink Strawberry | 320ml","320",21.95
"Beverage","Red Bull Energy Drink Supreme | 150ml","150",41.5
"Beverage","Gatorade Sports Drink Tropical Fruit | 1.5L","1.5",116.95
"Beverage","Gatorade Sports Drink Blue Bolt | 1.5L PET","1.5",101.25
"Beverage","Gatorade Sports Drink Pet Orange | 500ml","500",45
"Beverage","Gatorade Sports Drink Grape | 500mL PET","500",45
"Beverage","Gatorade Sports Drink Tropical | 500mL PET","500",45
"Beverage","Gatorade Sports Drink Blue Bolt | 500mL PET","500",45
"Beverage","Kopiko L.A.Coffee Minibag | 25g 10pcs","25",82.5
"Beverage","Extra Joss Energy Drink | 4g 6pcs","4",51.5
"Beverage","Cobra Berryblast Energy Drink | 330ml","330",20.5
"Beverage","Cobra Smart Energy | 330ml","330",21.5
"Beverage","Cobra Energy Drink | 330ml","330",20.5
"Beverage","Tiger Beer Black Strong | 500mL can","500",74.5
"Beverage","Tanduay Ice Signature Vodka Lemonade | 330ml","330",38.5
"Beverage","Tanduay Ice Light Alcomix Pomelo | 330ml","330",35.95
"Beverage","Tanduay Ice Alcomix Red Miracle | 330ml","330",35.95
"Beverage","Tanduay Ice Alcomix Blue Illusion | 330ml","330",35.95
"Beverage","Tanduay Ice Original | 330ml","330",35.95
"Beverage","San Miguel Beer Super Dry Can | 330ml","330",79.5
"Beverage","San Miguel Beer Lemon Can | 330ml","330",54.5
"Beverage","Heineken Beer Can | 330ml","330",76.5
"Beverage","Heineken Beer Can | 500ml","500",112.5
"Beverage","Heineken Beer in Bottle | 330ml","330",76.5
"Beverage","Jele Beautie Drink Strawberry | 150ml","150",31.5
