Category,Name,Net weight,Price
"Chilled","Binggrae Melona Ice Waffle Chocolate | 150ml 4pcs","150",210.5
"Chilled","Binggrae Melona Ice Cream Bar | 70ml 8pcs","70",218.5
"Chilled","Belle Margarine Spreadable | 250g","250",165
"Chilled","Bear Brand Choco | 29g 8pcs","29",99.5
"Chilled","Bear Brand Adult Plus | 33g","33",18.5
"Chilled","Arla Sandwich Slices Original | 10pcs 200g","10",175
"Chilled","Arla Natural Havarti | 200g","200",267
"Chilled","Arla Natural Gouda | 200g","200",267
"Chilled","Arla Burger Slices Cheddar | 20pcs 400g","20",325
"Chilled","Arla Burger Slices Cheddar | 10pcs 200g","10",175
"Chilled","Anlene Movemax Choco | 35g","35",19.5
"Chilled","Anchor Butter Regular Unsalted | 200g","200",182
"Chilled","Alaska Fortified Powder Milk | 1.9kg","1.9",589.5
"Chilled","S26 Gold Two | 2.4kg","2.4",3844.5
"Chilled","S26 Two | 2.4kg","2.4",3027.5
"Chilled","Lactum Infant Milk | 2kg","2",1399.5
"Chilled","Nido 1 Plus Jr Growing Up Milk | 2.4kg","2.4",1344.5
"Chilled","Nido 3 Plus Growing Up Milk | 2.4kg","2.4",1334.5
"Chilled","Anmum Materna Chocolate | 800g","800",867.5
"Chilled","Anchor Full Cream Milk Powder | 700g","700",429.5
"Chilled","Birch Tree Fortified Chocolate | 290g","290",97.5
"Chilled","SM Bonus Brown Eggs | 6pcs","6",93
"Chilled","Milk Magic Brown Sugar | 1L","1",126.5
"Chilled","Milk Magic Brown Sugar | 330ml","330",51.95
"Chilled","Carmen's Best Butter Pecan | 440ml","440",450
"Chilled","Carmen's Best Madagascar Vanilla | 440ml","440",450
"Chilled","Carmen's Best Cookie Dough | 440ml","440",399
"Chilled","Carmen's Best Brazilian Coffee | 440ml","440",399
"Chilled","Carmen's Best Dark Choco | 440ml","440",399
"Chilled","Carmen's Best Salted Caramel | 440ml","440",399
"Chilled","Bega Cheddar Vintage Strong and Bitey | 25pcs","25",379
"Chilled","Bega Cheddar Tasty | 250g","250",379
"Chilled","Bega Echeddar Extra Tasty | 250g","250",379
"Chilled","Bega Super Slices | 250g","250",285
"Chilled","Lurpak Butter Unsalted | 200g","200",232
"Chilled","Lurpak Butter Unsalted | 8g","8",112
"Chilled","Similac Gain Plus | 3.6kg","3.6",4039.5
"Chilled","Chuckie Milkshake Cookies & Cream | 180ml","180",31.5
"Chilled","Chuckie Milkshake Choco Brownie | 180ml","180",31.5
"Chilled","Bear Brand Fortified | 1L","1",104.5
"Chilled","Birch Tree Advance Vanilla | 1.2kg","1.2",1429.5
"Chilled","Birch Tree Advance Vanilla | 850g","850",1124.5
"Chilled","Birch Tree Advance Mocha | 850g","850",1124.5
"Chilled","Birch Tree Advance Mocha | 300g","300",409.5
"Chilled","Birch Tree Advance Vanilla | 300g","300",409.5
"Chilled","Arla Fat Free Yogurt Strawberry | 100g","100",49
"Chilled","Arla Fat Free Yogurt Chery | 100g","100",49
"Chilled","Lurpak Salted Butter | 100g","100",138
"Chilled","Lurpak Unsalted Butter | 100g","100",138
"Chilled","Emborg Monterey Jack Shredded | 200g","200",259
"Chilled","Emborg Monterey Jack Sliced Chese | 150g","150",195
"Chilled","Dairyworks Tasty Cheese Sticks | 200g","200",399
"Chilled","Dairyworks Edam Cheese & Rice Cracker | 120g","120",299
"Chilled","Dairyworks Golby Cheese & Rice Cracker | 120g","120",299
"Chilled","Dairyworks Gouda Cheese Block | 210g","210",250
"Chilled","Dairyworks Colby Cheese Block | 250g","250",276.5
"Chilled","Dairyworks Mozarella Cheese Block | 210g","210",240
"Chilled","Dairyworks Parmesan Cheese Wedge | 200g","200",360
"Chilled","Kraft Cheese Slices 6pcs | 125g","6",129
