Category,Name,Net weight,Price
"Bakery","Village Gourmet Brioche Hotdog Buns | 290g","290",120
"Bakery","Maruha Nichiro Wildish Fried Rice With Pork and Vegetable | 270g","270",270
"Bakery","Tiffany Carrot Cake | 270g","270",73
"Bakery","Allgroo Seafood Pancake | 260g","260",269
"Bakery","Allgroo Kimchi Pancake | 260g","260",249
"Bakery","Allgroo Vegetable Pancake | 260g","260",249
"Bakery","Hotsa Sticks Regular Pimiento | 25pcs","25",107
"Bakery","Hotsa Sticks Regular Ham | 25pcs","25",107
"Bakery","Hotsa Sticks Regular Cheese | 25pcs","25",107
"Bakery","SM Bonus Gulaman Powder Coffee | 25g","25",13.5
"Bakery","Tapa King Sweet and Savory | 250g","250",255
"Bakery","Tapa King Spicy and Sweet | 250g","250",255
"Bakery","Tapa King Classic | 250g","250",255
"Bakery","Marby Buns Reg Monay | 250g","250",56
"Bakery","Marby Buns Regular Pandesal | 250g","250",51
"Bakery","Bambi Dumpling Wrapper Round | 250g","250",43
"Bakery","Gardenia Pinoy Pandesal | 250g","250",27.25
"Bakery","Niko Yaki Gyoza | 240g","240",175
"Bakery","Tiffany Choco Pound Cake | 210g","210",65
"Bakery","Tiffany Banana Loaf | 210g","210",62
"Bakery","Tiffany Butter Pound | 210g","210",59.5
"Bakery","Hotsa Siopao Mini | 20pcs","20",256
"Bakery","Fujiya Milky Cream Puff | 200g","200",120
"Bakery","Bambi Molo Wrapper 2.5x2.5 | 120g","120",29.5
"Bakery","Marby Lumpia Shanghai | 1kg 1200g","1",409
"Bakery","Souffle Roll Cake Chocolate | 199g","199",270
"Bakery","Souffle Roll Cake Custard | 193g","193",270
"Bakery","Hotsa Shrimp Siomai | 18pcs","18",190
"Bakery","Hotsa Chicken Siomai | 18pcs","18",190
"Bakery","Hokkaido Cheese Cake | 184g","184",825
"Bakery","Fujiya Milky Cream Puff Strawberry | 180g","180",120
"Bakery","Tiffany Pianono Ube | 180g","180",59
"Bakery","Tiffany Pianono Pandan | 180g","180",59
"Bakery","Tiffany Pianono Mocca | 180g","180",59
"Bakery","Tiffany Pianono Plain | 180g","180",59
"Bakery","Ongpauco Original Kare Kare Paste | 175g","175",135
"Bakery","Signature Select Bites Fiesta Steak | 160g","160",470
"Bakery","Fat & Thin Pork Dumpling | 15pcs","15",120
"Bakery","Marby Pizza Crust Mini | 675g 15pcs","675",198
"Bakery","Tiffany Taisan Choco | 150g","150",57
"Bakery","Tiffany Taisan Mocca | 150g","150",56
"Bakery","Tiffany Taisan Plain | 150g","150",56
"Bakery","Tiffany Dice Ube | 140g","140",56
"Bakery","Uncle George Buns Regular Cheezyblls | 140g","140",40
"Bakery","Marby Pita Wraps Original | 290g 6pcs","290",96.75
"Bakery","Vjandep Pastel Yema | 12pcs","12",304
"Bakery","Uncle George Mamon Rolls Big | 100g","100",58
"Bakery","Marby Buns Flavored Ube Bites | 120g","120",43.5
"Bakery","Marby Buns Flavored Chocolate Bites | 120g","120",43.5
"Bakery","Tiffany Mochi Roll | 120g","120",45
"Bakery","Village Gourmet Personal Super Thin | 112g","112",122
"Bakery","Fat & Thin Siao Longpao Aasado | 10pcs","10",90
"Bakery","Fat & Thin Siao Longpao Bola Bola | 10pcs","10",90
"Bakery","SM Bonus Healthy Whole Wheat Pandesal | 360g","360",60
"Bakery","Marby Cakes Cupcake Brownies | 300g 10pcs","300",99.5
"Bakery","Gardenia Pinoy Coco Pandesal | 250g 10pcs","250",23.5
"Bakery","Hotsa Asado Siopao | 130g 10pcs","130",162
"Bakery","Hotsa Siopao Special Asado | 10pcs","10",266
"Bakery","Niko Yaki Gyoza | 100g","100",100
"Bakery","Marby Pizza Crust Medium | 100g","100",87.75
"Bakery","Goldilocks Laing Ready To Eat| 400g","400",270
"Bakery","Uncle George Wheat Multigrain Sugar Free | 420g","420",134
