Category,Name,Net weight,Price
"Snacks","Chocovron Choco Coated Cookies & Cream | 240g","240",189.5
"Snacks","WL Cheepee Corn Chips | 120g","120",24.5
"Snacks","WL Cheez Zum | 60g","60",17.5
"Snacks","WL Cheez Zum Cheese Ring Snacks | 88g","88",26.5
"Snacks","WL Cheez Zum Corn Puffed Snacks | 88g","88",26.5
"Snacks","Wl Tattoos Corn Tube Bbq Flavor | 60g","60",12.5
"Snacks","Wl Tattoos Corn Chips | 120g","120",24.5
"Snacks","WL Tattoos Corn Tube Spicy Cheese | 60g","60",12.5
"Snacks","Humpy Dumpy Chili & Garlic | 110g","110",27.95
"Snacks","Humpy Dumpy Buttered Cheese | 110g","110",27.95
"Snacks","Mexicorn BBQ | 110g","110",27.95
"Snacks","Mexicorn Viva Cheese | 110g","110",27.95
"Snacks","Regent Cheese Ball | 60g","60",18.5
"Snacks","Regent Sweet Corn | 60g","60",18.5
"Snacks","Regent King Crab Crackers | 160g","160",45
"Snacks","Regent Tempura Shrimp | 100g","100",24.5
"Snacks","Pringles Original Can | 149g","149",119.5
"Snacks","Pringles Cheddar Cheese Can | 158g","158",119.5
"Snacks","Pringles Can Sour Cream and Onion | 42g","42",46.5
"Snacks","Pringles Can Original | 42g","42",46.5
"Snacks","Pringles Cheese | 110g can","110",104.5
"Snacks","Pringles Sour Cream and Onion | 110g can","110",92.5
"Snacks","Choco Sponge Crunch Party Size | 120g","120",47.5
"Snacks","Oishi Ridges Cheese Garlic | 60g","60",36.5
"Snacks","Oishi Ridges Bbq | 60g","60",36.5
"Snacks","Oishi Ridges Cheese | 60g","60",36.5
"Snacks","Oishi Ridges Onion and Garlic | 60g","60",36.5
"Snacks","Oishi Prawn Crackers Sweet & Extra Hot | 60g","60",18.5
"Snacks","Oishi Prawn Crackers Regular | 60g","60",18.5
"Snacks","Oishi Prawn Crackers Sweet Extra Hot | 90g","90",27.5
"Snacks","Oishi Prawn Crackers Classic | 90g","90",27.5
"Snacks","Baked Porky Popps Classic Vinegar | 34g","34",36.5
"Snacks","Baked Porky Popps Hot & Spicy | 34g","34",36.5
"Snacks","Oishi Panchos Taco Flavor | 85g","85",27.5
"Snacks","Oishi Panchos Nacho Cheese Flavor | 85g","85",27.5
"Snacks","Oishi Panchos Barbecue Flavor | 85g","85",27.5
"Snacks","Oishi Natural Potato Chips Sweet Spicy | 60g","60",36.5
"Snacks","Oishi Gourmet Picks Salted Egg | 60g","60",47.5
"Snacks","Oishi Potato Fries Barbeque | 50g","50",16.95
"Snacks","Oishi Potato Fries Plain Salted | 50g","50",16.95
"Snacks","Oishi Potato Fries Cheese | 50g","50",16.95
